City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Kaunas,Centras,Miško g.,108m2,3,4,2007,Brick,Central thermostat,Fully,nan,490000
Kaunas,Petrašiūnai,T. Masiulio g.,"51,31m2",2,3,1959,Brick,Central,Fully,nan,73000
Vilnius,Pašilaičiai,Perkūnkiemio g.,"59,8m2",3,5,2009,Monolithic,Central,Fully,B,200000
Vilnius,Pašilaičiai,Perkūnkiemio g.,"59,8m2",3,5,2009,Monolithic,Central,Fully,B,200000
Vilnius,Pašilaičiai,Perkūnkiemio g.,"48,85m2",2,1,1983,Brick,Central,Fully,B,39000
Marijampolės m.,Centras,Vytauto g.,"18,35m2",1,4,1967,Brick,Central,Fully,nan,19000
Vilnius,Žirmūnai,Apkasų g.,45m2,2,3,1964,Block house,Central,Fully,nan,115000
Marijampolės m.,Mokolai,Uosupio g.,37m2,2,3,1992,Block house,Central,Fully,nan,61800
Marijampolės m.,Mokolai,Uosupio g.,"64,79m2",2,2,1938,Brick,Solid fuel,Fully,nan,26500
Marijampolės m.,Mokolai,Uosupio g.,"80,13m2",3,3,1989,Brick,Central,Fully,nan,46000
Marijampolės m.,Mokolai,Uosupio g.,"109,95m2",3,1,1952,Wooden house,Gas,Fully,nan,89000
Marijampolės m.,Mokolai,Uosupio g.,50m2,2,4,1988,Other,Central,Fully,nan,27000
Marijampolės m.,Mokolai,Uosupio g.,"47,54m2",2,2,1975,Brick,Gas,Fully,G,53000
Marijampolės m.,Mokolai,Uosupio g.,29m2,1,9,1988,Brick,Central,Fully,nan,21500
Joniškio r. sav.,Linkaičių k.,Taikos g.,"80,49m2",4,1,1970,Brick,Solid fuel,Fully,nan,23000
Vilnius,Jeruzalė,Rugių g.,71m2,2,5,2000,Brick,Central thermostat,Fully,B,185000
Vilnius,Šnipiškės,Rinktinės g.,"96,61m2",3,3,1959,Brick,Central,Other,nan,349000
Vilnius,Senamiestis,Vingrių g.,104m2,3,2,2001,Brick,Central thermostat,Fully,nan,540000
Vilnius,Senamiestis,Vingrių g.,"47,64m2",2,1,1979,Brick,Central,Fully,nan,89500
Šiauliai,Dainiai,Architektų g.,50m2,2,3,1985,Block house,Central,Fully,nan,67500
Šiauliai,Dainiai,Architektų g.,44m2,2,3,1986,Block house,Central,Fully,nan,45000
Kaunas,Aukštieji Šančiai,Biržiškų g.,"56,89m2",3,2,1962,Block house,Central thermostat,Fully,nan,86000
Kaunas,Aukštieji Šančiai,Biržiškų g.,"33,86m2",1,1,1978,Brick,Central,Partial,A,19000
Kaunas,Aukštieji Šančiai,Biržiškų g.,"52,38m2",2,3,1984,Brick,Central,Fully,nan,62500
Vilnius,Naujoji Vilnia,Parko g.,"50,06m2",2,5,1986,Brick,Central,Fully,nan,145000
Vilnius,Naujoji Vilnia,Parko g.,"49,76m2",2,5,1984,Brick,Central,Fully,nan,51000
Vilnius,Naujoji Vilnia,Parko g.,"30,37m2",1,2,1988,Brick,Central,Fully,nan,25000
