City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Vilnius,Fabijoniškės,Salomėjos Nėries g.,"50,09m2",2,5,2006,Block house,Central thermostat,Fully,nan,127000
Šiaulių r. sav.,Varputėnų k.,Pagrindinė g.,"39,68m2",1,2,1974,Brick,Solid fuel,Fully,nan,8900
Vilnius,Naujininkai,Šaltkalvių g.,"25,1m2",1,5,1968,Brick,Central,Fully,nan,29000
Vilnius,Justiniškės,Taikos g.,"61,74m2",3,4,1984,Block house,Central,Fully,G,112000
Marijampolės m.,Degučiai,R. Juknevičiaus g.,64m2,3,5,1977,Block house,Central,Fully,C,61000
Vilnius,Fabijoniškės,Salomėjos Nėries g.,"52,33m2",2,1,2004,Brick,Central thermostat,Fully,nan,127000
Klaipėda,Bandužiai,Bandužių g.,"75,34m2",3,4,1992,Block house,Central,Fully,nan,105000
Klaipėda,Bandužiai,Bandužių g.,"42,06m2",2,4,1961,Brick,Central,Fully,nan,44000
Vilnius,Senamiestis,Aguonų g.,"123,64m2",4,2,2019,Brick,Central thermostat,Fully,nan,880000
Panevėžys,Klaipėdos,Dariaus ir Girėno g.,81m2,4,1,1977,Block house,Central,Fully,nan,93300
Vilnius,Visoriai,Visorių g.,54m2,3,2,2018,Brick,Central thermostat,Fully,A+,189000
Vilniaus r. sav.,Nemenčinės m.,Lauko g.,"29,04m2",1,3,1978,Brick,Central,Fully,nan,62500
Vilnius,Naujamiestis,Birželio 23-iosios g.,"80,79m2",2,4,2009,Brick,Central thermostat,Fully,nan,299000
Kaunas,Vilijampolė,Šešupės g.,"25,8m2",2,1,1930,Wooden house,Solid fuel,Fully,nan,28000
Panevėžys,Žemaičiai,Staniūnų g.,46m2,2,5,1972,Brick,Central,Fully,nan,33900
Vilnius,Senamiestis,Mindaugo g.,49m2,2,1,2021,Monolithic,Central thermostat,Fully,A+,259000
Vilnius,Senamiestis,Mindaugo g.,"64,07m2",3,5,1977,Block house,Central,Fully,nan,60000
Kaunas,Dainava,A. ir J. Gravrogkų g.,"44,23m2",2,4,1963,Brick,Central,Fully,nan,66900
Kaunas,Vilijampolė,Raudondvario pl.,"22,35m2",1,5,1972,Brick,Central,Fully,nan,32000
Kaunas,Vilijampolė,Raudondvario pl.,85m2,4,2,1987,Brick,Solid fuel,Fully,nan,98500
Kaunas,Vilijampolė,Raudondvario pl.,"79,71m2",4,5,1980,Block house,Central,Fully,nan,60000
Kaunas,Dainava,V. Krėvės pr.,"35,04m2",1,5,1991,Brick,Central,Fully,nan,63000
Kaunas,Dainava,V. Krėvės pr.,64m2,3,5,1989,Brick,Central,Fully,nan,51000
Kaunas,Aukštieji Šančiai,Biržiškų g.,"45,56m2",2,4,1968,Block house,Central,Fully,nan,96000
Kaunas,Aukštieji Šančiai,Biržiškų g.,"77,6m2",4,5,1969,Brick,Central,Fully,nan,58000
Kaunas,Dainava,Partizanų g.,"45,45m2",2,5,1972,Block house,Central,Fully,nan,67000
Kaunas,Dainava,Partizanų g.,51m2,2,2,1975,Block house,Central thermostat,Fully,A,65000
Vilnius,Bajorai,Salaspilio g.,63m2,3,1,2019,Brick,Gas,Fully,A+,249000
Kaunas,Centras,V. Putvinskio g.,"43,85m2",2,1,1932,Brick,Electric,Fully,nan,108000
Vilnius,Paupys,Aukštaičių g.,"53,74m2",2,3,2022,Brick,Central thermostat,Partial,A,261700
Vilnius,Santariškės,Dangeručio g.,"57,4m2",2,4,2023,Brick,Electric,Partial,A++,167000
Vilnius,Santariškės,Dangeručio g.,40m2,2,6,1980,Brick,Central,Fully,nan,13300
Šiaulių r. sav.,Vijolių k.,Veterinarijos g.,"45,57m2",2,1,1969,Brick,"Gas, solid fuel",Not,nan,36000
Šiauliai,Žaliūkiai,Išradėjų g.,23m2,1,2,1978,Brick,"Central, electric",Fully,A,41000
Vilnius,Fabijoniškės,L. Giros g.,"39,88m2",2,5,1989,Block house,Central,Fully,nan,125000
Vilnius,Fabijoniškės,L. Giros g.,"45,51m2",2,4,1970,Brick,Central,Fully,nan,37000
Vilniaus r. sav.,Daržininkų k.,Senojo Kelio g.,151m2,5,1,2022,Brick,Aerothermal,Partial,A++,219000
Šiauliai,Dainiai,Dainų g.,50m2,2,5,1982,Block house,Central,Fully,nan,54000
Šiauliai,Dainiai,Dainų g.,54m2,2,3,1999,Block house,Central,Fully,nan,38000
Šiauliai,Dainiai,Dainų g.,"52,86m2",2,1,1996,Block house,Central,Other,nan,26000
Šiauliai,Dainiai,Dainų g.,22m2,1,2,1990,Brick,Central,Fully,nan,56000
Vilnius,Naujamiestis,Vytenio g.,"58,08m2",3,1,1961,Block house,Central,Fully,nan,120000
Akmenės r. sav.,Paeglesių k.,Upelio g.,48m2,2,1,1971,Brick,Central,Fully,nan,10000
Vilnius,Pilaitė,Karaliaučiaus g.,65m2,3,3,2008,Block house,Central thermostat,Fully,nan,129900
Vilnius,Pilaitė,Karaliaučiaus g.,"53,86m2",2,5,1975,Brick,Gas,Fully,nan,295000
Alytus,Putinai,A. Jonyno g.,63m2,3,3,1978,Monolithic,Central,Fully,nan,82000
Alytus,Putinai,A. Jonyno g.,"42,6m2",2,1,1978,Brick,Central,Fully,nan,68000
Vilniaus r. sav.,Skaidiškių k.,Sodų g.,"53,1m2",2,1,1985,Brick,Central,Fully,nan,84000
Vilniaus r. sav.,Skaidiškių k.,Sodų g.,53m2,2,2,2022,Brick,Gas,Partial,nan,147000
Vilnius,Burbiškės,Burbiškių g.,32m2,1,2,2014,Brick,Gas,Fully,nan,103000
Klaipėda,Baltija,Baltijos pr.,34m2,1,5,1966,Block house,Central,Fully,nan,35000
Vilnius,Pilaitė,Zujūnų g.,52m2,3,2,2022,Brick,Gas,Partial,B,99000
Klaipėda,Mažasis kaimelis,Kretingos g.,40m2,2,4,2023,Brick,Central thermostat,Partial,A+,89000
Klaipėda,Mokykla,Tilžės g.,"33,05m2",2,2,1930,Brick,"Central, electric",Other,G,49575
Klaipėda,Mokykla,Tilžės g.,"16,99m2",1,2,1930,Brick,Central,Other,G,25500
Klaipėda,Mokykla,Tilžės g.,31m2,1,1,1966,Block house,Central,Partial,nan,37000
Vilnius,Baltupiai,Jurgio Lebedžio g.,"29,49m2",2,2,2019,Brick,Central thermostat,Fully,A+,139000
Vilnius,Baltupiai,Jurgio Lebedžio g.,"86,56m2",4,2,2021,Brick,Geothermal,Partial,A,380864
Vilnius,Naujininkai,Kapsų g.,"29,11m2",1,2,1976,Brick,Central,Fully,nan,64000
Palanga,Šventoji,Žuvėdrų g.,60m2,3,1,1974,Brick,Central,Other,nan,130000
Vilniaus r. sav.,Juodšilių k.,Mokyklos g.,51m2,3,2,2020,Brick,Other,Fully,nan,79500
Vilnius,Fabijoniškės,Salomėjos Nėries g.,"36,63m2",1,12,2004,Brick,Central thermostat,Fully,nan,97000
Elektrėnų sav.,Pylimų k.,Liepų g.,"45,19m2",2,1,1965,Brick,Solid fuel,Fully,nan,27000
Kaunas,Romainiai,Gruodo g.,"77,59m2",3,2,2022,Brick,Aerothermal,Partial,A+,135800
Kaunas,Romainiai,Gruodo g.,"70,015m2",4,1,1976,Brick,Central,Fully,nan,56000
