City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price,Price per sqm
Kaunas,Centras,E. Ožeškienės g.,77.0,3,2,1928,Brick,Central,Fully,199000,2584.4155844155844
Kaunas,Centras,E. Ožeškienės g.,50.46,2,4,2018,Monolithic,Central thermostat,Fully,156000,3091.5576694411416
Kaunas,Centras,E. Ožeškienės g.,50.58,2,6,1982,Brick,Central,Fully,67000,1324.634242783709
Kaunas,Dainava,Kovo 11-osios g.,44.35,2,2,1968,Block house,Central,Fully,89000,2006.7643742953776
Vilnius,Pilaitė,Sidaronių g.,60.03,3,2,2019,Brick,Central thermostat,Fully,189900,3163.4182908545727
Vilnius,Bajorai,Bajorų kel.,26.97,1,3,2022,Brick,Central thermostat,Partial,85000,3151.6499814608824
Vilnius,Bajorai,Bajorų kel.,25.85,1,1,2023,Brick,Central thermostat,Partial,75000,2901.3539651837523
Vilnius,Justiniškės,Mozūriškių g.,59.47,3,1,2023,Brick,Aerothermal,Partial,189000,3178.072977972087
Kaunas,Žaliakalnis,Žuvinto g.,54.83,2,1,2008,Brick,Central thermostat,Fully,189999,3465.2380083895678
Vilnius,Baltupiai,Ozo g.,47.0,2,6,2022,Block house,Central thermostat,Fully,189500,4031.9148936170213
Klaipėda,Miškas,Kretingos g.,55.0,3,5,1968,Brick,Central thermostat,Fully,82300,1496.3636363636363
Vilnius,Naujamiestis,Vytenio g.,39.57,2,2,2023,Brick,Central thermostat,Partial,178200,4503.411675511751
Vilnius,Naujamiestis,Vytenio g.,43.42,2,3,2023,Brick,Central thermostat,Partial,186700,4299.861814831875
Biržų r. sav.,Vabalninko m.,B. Sruogos g.,82.04,3,2,1989,Brick,"Central, solid fuel",Partial,18900,230.3754266211604
Vilnius,Naujoji Vilnia,Pramonės g.,21.5,1,3,1981,Block house,Electric,Fully,38500,1790.6976744186047
Vilnius,Baltupiai,Juozo Balčikonio g.,50.21,2,1,2012,Brick,Central thermostat,Fully,175000,3485.3614817765383
Vilnius,Baltupiai,Juozo Balčikonio g.,109.95,4,1,2019,Brick,Gas,Fully,560000,5093.224192814916
Vilnius,Šnipiškės,Kernavės g.,83.0,4,5,2022,Brick,Central thermostat,Partial,255000,3072.289156626506
Vilnius,Šnipiškės,Daugėliškio g.,52.24,3,7,2022,Brick,Central thermostat,Partial,200000,3828.483920367534
Vilnius,Šnipiškės,Daugėliškio g.,40.05,1,1,2015,Monolithic,Central thermostat,Fully,124000,3096.1298377028716
Vilnius,Šnipiškės,Daugėliškio g.,110.02,4,1,1936,Wooden house,Solid fuel,Partial,117000,1063.4430103617524
Vilnius,Šnipiškės,Žalgirio g.,38.27,2,2,2016,Brick,Central thermostat,Fully,169900,4439.508753592892
Vilnius,Šnipiškės,Žalgirio g.,40.0,2,1,2023,Brick,Aerothermal,Partial,96000,2400.0
Vilnius,Šnipiškės,Žalgirio g.,39.0,2,2,2023,Brick,Aerothermal,Partial,92500,2371.7948717948716
Vilnius,Šnipiškės,Žalgirio g.,39.0,2,2,2022,Brick,Aerothermal,Partial,93600,2400.0
Vilnius,Šnipiškės,Žalgirio g.,54.49,2,1,1987,Block house,Central,Fully,65800,1207.5610203707101
Panevėžys,Žemaičiai,Žemaičių g.,63.86,3,2,2022,Brick,Central thermostat,Partial,102500,1605.0735984967116
Vilnius,Senamiestis,A. Stulginskio g.,105.23,4,3,1954,Brick,Central,Fully,315000,2993.4429345243752
Vilnius,Senamiestis,A. Stulginskio g.,34.6,2,1,2023,Brick,Geothermal,Fully,237010,6850.0
Vilnius,Senamiestis,A. Stulginskio g.,50.0,2,7,1986,Block house,Central,Fully,50000,1000.0
Vilnius,Visoriai,Visorių g.,90.1,4,2,2023,Brick,Central thermostat,Partial,232638,2581.997780244173
Vilnius,Bajorai,Salaspilio g.,76.72,4,1,2023,Brick,Gas,Partial,196096,2555.99582898853
Vilnius,Šeškinė,Dūkštų g.,28.0,1,1,1986,Block house,Central,Fully,69990,2499.6428571428573
Vilnius,Šeškinė,Ozo g.,39.0,2,4,2021,Brick,Central thermostat,Fully,169900,4356.410256410257
Kauno r. sav.,Giraitės k.,Azalijų g.,60.7,3,2,2021,Brick,Gas,Fully,141500,2331.136738056013
Kauno r. sav.,Giraitės k.,Azalijų g.,38.01,2,2,2022,Brick,Gas,Fully,209000,5498.553012365167
Klaipėda,Centras,Gintaro g.,34.65,1,5,1987,Brick,Central,Fully,59000,1702.7417027417027
Vilnius,Justiniškės,Taikos g.,61.47,3,6,1983,Block house,Central,Fully,117000,1903.367496339678
Kaunas,Žaliakalnis,Šimkaičių g.,53.0,2,1,2022,Brick,Gas,Partial,158000,2981.132075471698
Šiauliai,Zokniai,Radviliškio g.,55.29,2,5,1973,Brick,Central,Fully,56500,1021.8846084282873
Šiauliai,Zokniai,Radviliškio g.,59.04,3,5,1963,Block house,Central,Fully,70000,1185.6368563685637
Vilnius,Vilkpėdė,Titnago g.,38.01,2,2,2020,Brick,Electric,Fully,95000,2499.342278347803
Vilnius,Vilkpėdė,Titnago g.,43.09,2,4,1969,Brick,Central,Fully,33000,765.8389417498258
Vilnius,Šeškinė,Šeškinės g.,35.33,1,4,1979,Block house,Central,Fully,75000,2122.841777526182
Kaunas,Žaliakalnis,Jonavos g.,41.86,2,1,1976,Brick,Central,Fully,65000,1552.7950310559006
Vilnius,Karoliniškės,Laisvės pr.,48.6,2,10,1975,Block house,Central,Fully,89000,1831.275720164609
Vilnius,Šnipiškės,Konstitucijos pr.,100.6,3,4,2005,Monolithic,Central thermostat,Fully,380000,3777.3359840954276
Vilnius,Vilkpėdė,Savanorių pr.,33.65,1,4,1976,Brick,Central,Fully,65000,1931.6493313521546
Klaipėda,Giruliai,Litorinos g.,58.85,3,1,2022,Brick,Gas,Partial,341330,5800.0
Vilnius,Kalnėnai,Azerų g.,86.64,4,1,2022,Brick,"Aerothermal, gas",Partial,159900,1845.567867036011
Vilnius,Pilaitė,Vorupės g.,90.0,4,1,2022,Brick,"Aerothermal, gas",Partial,168000,1866.6666666666667
Vilnius,Pilaitė,Vorupės g.,35.41,2,3,2022,Brick,Electric,Fully,245000,6918.949449308106
Vilnius,Pilaitė,Vorupės g.,50.62,2,1,2023,Monolithic,Central thermostat,Partial,145000,2864.480442512841
Vilnius,Žirmūnai,Žirmūnų g.,86.31,4,5,2001,Brick,Central thermostat,Fully,212500,2462.055381763411
Vilnius,Antakalnis,Naujakurių g.,40.0,3,1,2023,Other,Electric,Fully,192000,4800.0
Vilnius,Senamiestis,Gedimino pr.,131.0,4,4,1940,Brick,Geothermal,Fully,668000,5099.236641221374
Vilnius,Šeškinė,Ukmergės g.,50.0,2,4,1981,Block house,Central,Fully,126000,2520.0
Klaipėda,Mažasis kaimelis,Panevėžio g.,60.77,3,2,1979,Block house,Central,Fully,115000,1892.3811090998847
Kretingos r. sav.,Kluonalių k.,Aisčių g.,80.0,4,1,2021,Brick,"Gas, other",Partial,104000,1300.0
Kretingos r. sav.,Kluonalių k.,Aisčių g.,62.0,2,1,2001,Block house,Electric,Fully,285000,4596.774193548387
Vilnius,Šeškinė,Paberžės g.,35.36,1,4,1981,Block house,Central,Fully,89500,2531.108597285068
Panevėžys,Molainiai,Molainių g.,36.08,1,1,1985,Block house,Central,Fully,58900,1632.4833702882484
Kauno r. sav.,Garliavos m.,Stasio Lozoraičio g.,38.17,1,2,1992,Brick,Central,Fully,40000,1047.943411055803
Klaipėda,Melnragė,Molo g.,77.28,3,1,2004,Brick,Gas,Fully,169800,2197.204968944099
Kaunas,Dainava,Savanorių pr.,80.0,4,4,1972,Brick,Central,Fully,109600,1370.0
Kaunas,Dainava,Savanorių pr.,40.44,2,1,2022,Brick,Aerothermal,Partial,120000,2967.359050445104
Vilnius,Senamiestis,Tilto g.,174.0,7,1,1940,Brick,Gas,Fully,659000,3787.3563218390805
Akmenės r. sav.,Naujosios Akmenės m.,Respublikos g.,47.45,2,3,1970,Block house,Central,Fully,29000,611.1696522655426
