City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price
Kaunas,Panemunė,Kampiškių g.,43.45,2,1,2022,Brick,Aerothermal,Partial,97500
Kaunas,Panemunė,Kampiškių g.,76.63,3,2,2022,Brick,Central thermostat,Partial,108850
Kaunas,Panemunė,Kampiškių g.,35.6,2,3,1982,Brick,Central thermostat,Partial,106800
Kaunas,Panemunė,Kampiškių g.,19.6,1,2,1982,Brick,Central thermostat,Partial,56840
Klaipėda,Mažasis kaimelis,Senvagės g.,55.93,2,2,2023,Monolithic,Central,Partial,148900
Kaunas,Vilijampolė,Brastos g.,69.0,3,2,2019,Brick,Central thermostat,Fully,242000
Vilnius,Markučiai,Manufaktūrų g.,64.0,2,2,2020,Brick,"Central, central thermostat",Fully,349500
Kaunas,Vilijampolė,Varnių g.,98.62,2,6,2017,Monolithic,Central thermostat,Fully,299000
Kaunas,Vilijampolė,Varnių g.,25.0,2,1,2009,Brick,Gas,Fully,40000
Kaunas,Vilijampolė,Varnių g.,21.54,1,2,2022,Brick,"Electric, aerothermal",Partial,52000
Palanga,Šventoji,Mėguvos g.,55.75,2,3,2022,Brick,"Electric, aerothermal",Partial,76000
Vilnius,Senamiestis,Gedimino pr.,250.0,7,3,1919,Brick,Central thermostat,Partial,1450000
Palanga,Šventoji,Mėguvos g.,18.0,2,2,1998,Brick,"Electric, aerothermal, other",Fully,26964
Vilnius,Senamiestis,Rūdninkų g.,106.0,4,2,1940,Brick,Central,Fully,795000
Klaipėda,Giruliai,Turistų g.,98.12,3,1,2015,Carcass house,"Gas, other",Fully,183500
Vilnius,Senamiestis,Subačiaus g.,50.79,2,4,1969,Brick,Central,Fully,175000
Klaipėda,Giruliai,Turistų g.,45.0,1,1,2018,Carcass house,"Gas, other",Partial,85720
Vilnius,Žirmūnai,Žirmūnų g.,44.05,2,5,1965,Block house,Central,Fully,115500
Vilnius,Žirmūnai,Žirmūnų g.,38.66,2,2,2015,Brick,Electric,Fully,259000
Klaipėdos r. sav.,Gargždų m.,Dariaus ir Girėno g.,87.5,3,5,1999,Block house,Central,Fully,81500
Vilnius,Žirmūnai,Trinapolio g.,44.0,2,11,2005,Monolithic,Central thermostat,Fully,148000
Vilnius,Žirmūnai,Trinapolio g.,37.45,2,2,2022,Brick,Central thermostat,Fully,149800
Vilnius,Žirmūnai,Trinapolio g.,27.53,1,2,2022,Brick,Central thermostat,Fully,110000
Vilnius,Žirmūnai,Trinapolio g.,58.0,4,3,2020,Brick,"Electric, aerothermal",Fully,143000
Vilnius,Žirmūnai,Trinapolio g.,83.4,3,3,1992,Brick,Central thermostat,Partial,359000
Palanga,Šventoji,Mėguvos g.,17.0,2,2,2019,Brick,"Electric, aerothermal, other",Fully,27200
Vilnius,Senamiestis,Trakų g.,88.0,3,3,2014,Brick,Central thermostat,Fully,650000
Klaipėda,Giruliai,Turistų g.,101.53,2,2,2015,Carcass house,"Gas, other",Fully,165000
Kaunas,Romainiai,Girios g.,38.0,2,2,2022,Brick,Central thermostat,Partial,87400
Kauno r. sav.,Užliedžių k.,Ilgoji g.,68.9,3,2,2022,Brick,"Central thermostat, gas",Partial,124020
Vilnius,Vilkpėdė,Vilkpėdės g.,72.0,3,6,2009,Brick,"Electric, central thermostat",Fully,210000
Vilnius,Senamiestis,Bazilijonų g.,48.53,2,2,1940,Brick,Gas,Fully,347000
Klaipėda,Giruliai,Turistų g.,30.0,2,2,2018,Brick,Gas,Fully,62000
Klaipėda,Giruliai,Turistų g.,42.72,2,3,2015,Brick,Gas,Fully,135000
Vilnius,Bajorai,Salaspilio g.,51.75,2,1,2023,Brick,Gas,Partial,146005
Vilnius,Visoriai,Visorių g.,27.94,1,2,2023,Monolithic,Central thermostat,Partial,94996
Vilnius,Baltupiai,Visorių g.,31.24,1,5,2023,Brick,Central thermostat,Partial,106432
Vilnius,Bajorai,Salaspilio g.,50.66,2,1,2023,Brick,Gas,Partial,132020
Vilnius,Bajorai,Salaspilio g.,59.76,3,1,2023,Brick,Gas,Partial,148617
Vilnius,Bajorai,Salaspilio g.,48.26,2,2,2023,Brick,Gas,Partial,130784
Vilnius,Bajorai,Salaspilio g.,60.99,3,1,2023,Brick,Gas,Partial,145278
Vilnius,Visoriai,Visorių g.,61.3,3,2,2023,Brick,Central thermostat,Partial,166981
Vilnius,Naujininkai,Panevėžio g.,39.59,2,1,1940,Wooden house,Solid fuel,Fully,37000
Vilnius,Naujininkai,Panevėžio g.,39.51,2,2,2022,Brick,Central thermostat,Partial,139000
Klaipėda,Centras,Žiedų skg.,122.3,4,1,2019,Brick,Central,Partial,281290
Vilnius,Naujamiestis,Geležinio Vilko g.,44.45,2,3,1962,Block house,Central,Fully,95000
